date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth,day,holiday
1-8-2016,80,69,74.5,T,0,0,1,0
2-8-2016,79,68,73.5,0,0,0,2,0
3-8-2016,80,66,73.0,0,0,0,3,0
4-8-2016,81,67,74.0,0,0,0,4,0
5-8-2016,83,69,76.0,0,0,0,5,0
6-8-2016,87,72,79.5,0.05,0,0,6,0
7-8-2016,86,70,78.0,0,0,0,0,0
8-8-2016,86,71,78.5,0,0,0,1,0
9-8-2016,87,71,79.0,0,0,0,2,0
10-8-2016,86,75,80.5,0.09,0,0,3,0
11-8-2016,91,74,82.5,0.15,0,0,4,0
12-8-2016,93,73,83.0,0.32,0,0,5,0
13-8-2016,96,81,88.5,0,0,0,6,0
14-8-2016,94,78,86.0,0.06,0,0,0,0
15-8-2016,92,77,84.5,0,0,0,1,0
16-8-2016,87,78,82.5,0.11,0,0,2,0
17-8-2016,85,77,81.0,0.01,0,0,3,0
18-8-2016,85,72,78.5,0.03,0,0,4,0
19-8-2016,88,74,81.0,0.01,0,0,5,0
20-8-2016,83,70,76.5,0.82,0,0,6,0
21-8-2016,86,73,79.5,0.31,0,0,0,0
22-8-2016,79,65,72.0,0,0,0,1,0
23-8-2016,82,61,71.5,0,0,0,2,0
24-8-2016,88,68,78.0,0,0,0,3,0
25-8-2016,86,69,77.5,0.01,0,0,4,0
26-8-2016,90,75,82.5,0,0,0,5,0
27-8-2016,89,73,81.0,0,0,0,6,0
28-8-2016,89,72,80.5,0,0,0,0,0
29-8-2016,91,74,82.5,0,0,0,1,0
30-8-2016,86,69,77.5,0,0,0,2,0
31-8-2016,89,74,81.5,T,0,0,3,0
1-9-2016,79,69,74.0,0.5,0,0,4,0
2-9-2016,81,66,73.5,0,0,0,5,0
3-9-2016,75,66,70.5,0,0,0,6,0
4-9-2016,80,65,72.5,0,0,0,0,0
5-9-2016,84,65,74.5,0,0,0,1,1
6-9-2016,80,71,75.5,T,0,0,2,0
7-9-2016,85,71,78.0,0,0,0,3,0
8-9-2016,89,71,80.0,0,0,0,4,0
9-9-2016,91,75,83.0,0.22,0,0,5,0
10-9-2016,90,74,82.0,T,0,0,6,0
11-9-2016,83,67,75.0,0,0,0,0,1
12-9-2016,78,62,70.0,0,0,0,1,0
13-9-2016,83,64,73.5,0,0,0,2,0
14-9-2016,91,67,79.0,0.56,0,0,3,0
15-9-2016,74,61,67.5,0,0,0,4,0
16-9-2016,73,61,67.0,0,0,0,5,1
17-9-2016,77,59,68.0,0,0,0,6,1
18-9-2016,82,70,76.0,0,0,0,0,0
19-9-2016,76,69,72.5,0.68,0,0,1,0
20-9-2016,82,68,75.0,0,0,0,2,0
21-9-2016,84,68,76.0,0,0,0,3,0
22-9-2016,86,65,75.5,0,0,0,4,0
23-9-2016,87,64,75.5,0.01,0,0,5,0
24-9-2016,71,58,64.5,0.2,0,0,6,0
25-9-2016,70,54,62.0,0,0,0,0,0
26-9-2016,74,54,64.0,0,0,0,1,0
27-9-2016,74,64,69.0,0.22,0,0,2,0
28-9-2016,69,56,62.5,0,0,0,3,0
29-9-2016,64,57,60.5,0,0,0,4,0
30-9-2016,59,56,57.5,0.4,0,0,5,0
1-10-2016,62,56,59.0,0,0,0,6,0
2-10-2016,63,57,60.0,0,0,0,0,0
3-10-2016,72,60,66.0,0,0,0,1,0
4-10-2016,69,60,64.5,0,0,0,2,0
5-10-2016,67,53,60.0,0,0,0,3,0
6-10-2016,73,55,64.0,0,0,0,4,0
7-10-2016,75,57,66.0,0,0,0,5,0
8-10-2016,68,58,63.0,0.23,0,0,6,0
9-10-2016,65,51,58.0,0.55,0,0,0,0
10-10-2016,64,47,55.5,0,0,0,1,1
11-10-2016,63,46,54.5,0,0,0,2,0
12-10-2016,66,53,59.5,0,0,0,3,0
13-10-2016,67,53,60.0,T,0,0,4,0
14-10-2016,62,47,54.5,0,0,0,5,0
15-10-2016,65,45,55.0,0,0,0,6,1
16-10-2016,69,53,61.0,0,0,0,0,0
17-10-2016,81,63,72.0,0,0,0,1,0
18-10-2016,81,67,74.0,0,0,0,2,0
19-10-2016,85,65,75.0,0,0,0,3,0
20-10-2016,70,62,66.0,0,0,0,4,0
21-10-2016,69,57,63.0,1.11,0,0,5,0
22-10-2016,57,47,52.0,0.29,0,0,6,0
23-10-2016,61,45,53.0,0,0,0,0,0
24-10-2016,62,47,54.5,T,0,0,1,0
25-10-2016,52,43,47.5,0,0,0,2,0
26-10-2016,51,38,44.5,0,0,0,3,0
27-10-2016,55,40,47.5,1.41,0,0,4,0
28-10-2016,51,42,46.5,0,0,0,5,0
29-10-2016,64,39,51.5,0,0,0,6,0
30-10-2016,76,54,65.0,0.56,0,0,0,0
31-10-2016,54,44,49.0,0,0,0,1,1
